"","team","opponent","higherseed_win_prob","lowerseed_win_prob","conference","seed"
"1","OKC","DEN",0.489,0.511,"west",1
"2","OKC","MIN",0.704,0.296,"west",1
"3","OKC","LAC",0.755,0.245,"west",1
"4","OKC","DAL",0.661,0.339,"west",1
"5","OKC","PHX",0.676,0.324,"west",1
"6","OKC","LAL",0.709,0.291,"west",1
"7","OKC","NOP",0.565,0.435,"west",1
"8","OKC","BOS",0.442,0.558,"west",1
"9","OKC","NYK",0.609,0.391,"west",1
"10","OKC","MIL",0.739,0.261,"west",1
"11","OKC","CLE",0.757,0.243,"west",1
"12","OKC","ORL",0.775,0.225,"west",1
"13","OKC","IND",0.741,0.259,"west",1
"14","OKC","PHI",0.63,0.37,"west",1
"15","OKC","MIA",0.689,0.311,"west",1
"16","DEN","OKC",0.624,0.376,"west",2
"17","DEN","MIN",0.765,0.235,"west",2
"18","DEN","LAC",0.828,0.172,"west",2
"19","DEN","DAL",0.721,0.279,"west",2
"20","DEN","PHX",0.742,0.258,"west",2
"21","DEN","LAL",0.757,0.243,"west",2
"22","DEN","NOP",0.597,0.403,"west",2
"23","DEN","BOS",0.467,0.533,"west",2
"24","DEN","NYK",0.665,0.335,"west",2
"25","DEN","MIL",0.771,0.229,"west",2
"26","DEN","CLE",0.808,0.192,"west",2
"27","DEN","ORL",0.828,0.172,"west",2
"28","DEN","IND",0.776,0.224,"west",2
"29","DEN","PHI",0.684,0.316,"west",2
"30","DEN","MIA",0.724,0.276,"west",2
"31","MIN","OKC",0.391,0.609,"west",3
"32","MIN","DEN",0.338,0.662,"west",3
"33","MIN","LAC",0.581,0.419,"west",3
"34","MIN","DAL",0.512,0.488,"west",3
"35","MIN","PHX",0.51,0.49,"west",3
"36","MIN","LAL",0.569,0.431,"west",3
"37","MIN","NOP",0.401,0.599,"west",3
"38","MIN","BOS",0.263,0.737,"west",3
"39","MIN","NYK",0.43,0.57,"west",3
"40","MIN","MIL",0.594,0.406,"west",3
"41","MIN","CLE",0.616,0.384,"west",3
"42","MIN","ORL",0.591,0.409,"west",3
"43","MIN","IND",0.577,0.423,"west",3
