"","higherseed_win_prob","lowerseed_win_prob","game4_prob","game5_prob","game6_prob","game7_prob","team","opponent"
"1",0.568,0.432,0.107,0.246,0.301,0.346,"OKC","OKC"
"2",0.489,0.511,0.102,0.246,0.321,0.331,"OKC","DEN"
"3",0.704,0.296,0.114,0.29,0.306,0.29,"OKC","MIN"
"4",0.755,0.245,0.166,0.274,0.295,0.265,"OKC","LAC"
"5",0.661,0.339,0.125,0.273,0.298,0.304,"OKC","DAL"
"6",0.676,0.324,0.125,0.28,0.302,0.293,"OKC","PHX"
"7",0.709,0.291,0.093,0.279,0.31,0.318,"OKC","LAL"
"8",0.565,0.435,0.112,0.269,0.298,0.321,"OKC","NOP"
"9",0.442,0.558,0.104,0.224,0.333,0.339,"OKC","BOS"
"10",0.609,0.391,0.112,0.263,0.283,0.342,"OKC","NYK"
"11",0.739,0.261,0.142,0.307,0.251,0.3,"OKC","MIL"
"12",0.757,0.243,0.12,0.297,0.262,0.321,"OKC","CLE"
"13",0.775,0.225,0.126,0.309,0.255,0.31,"OKC","ORL"
"14",0.741,0.259,0.132,0.286,0.26,0.322,"OKC","IND"
"15",0.63,0.37,0.149,0.276,0.293,0.282,"OKC","PHI"
"16",0.689,0.311,0.119,0.269,0.303,0.309,"OKC","MIA"
"17",0.624,0.376,0.091,0.26,0.304,0.345,"DEN","OKC"
"18",0.549,0.451,0.102,0.251,0.323,0.324,"DEN","DEN"
"19",0.765,0.235,0.136,0.303,0.297,0.264,"DEN","MIN"
"20",0.828,0.172,0.184,0.327,0.267,0.222,"DEN","LAC"
"21",0.721,0.279,0.129,0.273,0.278,0.32,"DEN","DAL"
"22",0.742,0.258,0.131,0.294,0.292,0.283,"DEN","PHX"
"23",0.757,0.243,0.111,0.294,0.269,0.326,"DEN","LAL"
"24",0.597,0.403,0.109,0.274,0.296,0.321,"DEN","NOP"
"25",0.467,0.533,0.109,0.254,0.339,0.298,"DEN","BOS"
"26",0.665,0.335,0.125,0.257,0.32,0.298,"DEN","NYK"
"27",0.771,0.229,0.127,0.318,0.271,0.284,"DEN","MIL"
"28",0.808,0.192,0.149,0.3,0.278,0.273,"DEN","CLE"
"29",0.828,0.172,0.147,0.334,0.26,0.259,"DEN","ORL"
"30",0.776,0.224,0.117,0.294,0.29,0.299,"DEN","IND"
"31",0.684,0.316,0.126,0.287,0.3,0.287,"DEN","PHI"
"32",0.724,0.276,0.16,0.287,0.278,0.275,"DEN","MIA"
"33",0.391,0.609,0.13,0.244,0.325,0.301,"MIN","OKC"
"34",0.338,0.662,0.135,0.247,0.324,0.294,"MIN","DEN"
"35",0.542,0.458,0.117,0.219,0.313,0.351,"MIN","MIN"
"36",0.581,0.419,0.114,0.264,0.297,0.325,"MIN","LAC"
"37",0.512,0.488,0.119,0.259,0.336,0.286,"MIN","DAL"
"38",0.51,0.49,0.117,0.224,0.35,0.309,"MIN","PHX"
"39",0.569,0.431,0.086,0.247,0.307,0.36,"MIN","LAL"
"40",0.401,0.599,0.124,0.269,0.32,0.287,"MIN","NOP"
"41",0.263,0.737,0.146,0.264,0.309,0.281,"MIN","BOS"
"42",0.43,0.57,0.109,0.236,0.336,0.319,"MIN","NYK"
"43",0.594,0.406,0.119,0.273,0.34,0.268,"MIN","MIL"
"44",0.616,0.384,0.109,0.268,0.284,0.339,"MIN","CLE"
"45",0.591,0.409,0.118,0.236,0.32,0.326,"MIN","ORL"
"46",0.577,0.423,0.12,0.243,0.312,0.325,"MIN","IND"
"47",0.462,0.538,0.139,0.225,0.322,0.314,"MIN","PHI"
"48",0.501,0.499,0.115,0.25,0.316,0.319,"MIN","MIA"
"49",0.29,0.71,0.149,0.245,0.326,0.28,"LAC","OKC"
"50",0.257,0.743,0.188,0.257,0.306,0.249,"LAC","DEN"
"51",0.46,0.54,0.135,0.227,0.318,0.32,"LAC","MIN"
"52",0.483,0.517,0.102,0.261,0.294,0.343,"LAC","LAC"
"53",0.454,0.546,0.142,0.246,0.318,0.294,"LAC","DAL"
"54",0.407,0.593,0.11,0.256,0.331,0.303,"LAC","PHX"
"55",0.466,0.534,0.111,0.262,0.293,0.334,"LAC","LAL"
"56",0.341,0.659,0.148,0.279,0.282,0.291,"LAC","NOP"
